"Name","Version","FirstDate","FirstBucket","LastDate","LastBucket","Description"
"busybox-killall","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-lean","4784-g5507c8744","2023-02-06T01:09:21Z","duzyn/scoop-cn","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","BusyBox is a single binary that contains many common Unix tools"
"busybox-less","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-link","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-ln","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-logname","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-ls","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-lzcat","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-lzma","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-lzop","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-lzopcat","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-man","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-md5sum","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-mkdir","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-mktemp","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-mv","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-nc","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-nl","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-no-applets","3812-g12e14ebba","2021-02-03T12:06:35Z","woa7dklb/scoop-bucket","2021-02-03T12:06:35Z","woa7dklb/scoop-bucket","BusyBox is a single binary that contains many common Unix tools"
"busybox-od","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-only","3329-gcf0fa4d13","2020-02-07T11:27:28Z","zuisong/scoop-bucket","2020-02-07T11:27:28Z","zuisong/scoop-bucket","BusyBox is a single binary that contains many common Unix tools"
"busybox-paste","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-patch","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-pgrep","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-pidof","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-pipe_progress","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-pkill","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-printenv","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-printf","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-ps","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-pwd","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-readlink","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-realpath","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-reset","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-rev","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-rm","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-rmdir","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-rpm","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-rpm2cpio","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-sed","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-seq","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-sh","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-sha1sum","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-sha256sum","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-sha3sum","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-sha512sum","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-shred","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-shuf","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
